country,date,GDP growth,Unemployment_TLF,Unemployment_AEF,Unemployment_AEM,Unemployment_AET
China,2020-01-01,2.3475135727457,5.0,,,
China,2019-01-01,5.94971423273162,4.6,,,
China,2018-01-01,6.74977383247717,4.3,,,
China,2017-01-01,6.94720079327288,4.4,,,
China,2016-01-01,6.84876220503246,4.5,,,
China,2015-01-01,7.04132887865481,4.6,,,
China,2014-01-01,7.42576365645755,4.6,,,
China,2013-01-01,7.766150097539,4.6,,,
China,2012-01-01,7.86373644866194,4.6,,,
China,2011-01-01,9.55083217886229,4.5,,,
China,2010-01-01,10.6358710646812,4.5,,,
China,2009-01-01,9.39872563237978,4.7,,,
China,2008-01-01,9.65067891955702,4.6,,,
China,2007-01-01,14.2308609330803,4.3,,,
China,2006-01-01,12.7209556651735,4.4,,,
China,2005-01-01,11.3945918097286,4.5,,,
China,2004-01-01,10.1136213780461,4.5,,,
China,2003-01-01,10.038030481108,4.6,,,
China,2002-01-01,9.13363078993316,4.2,,,
China,2001-01-01,8.3357334781433,3.8,,,
China,2000-01-01,8.49009340575191,3.3,,,
China,1999-01-01,7.66165150053656,3.3,,,
China,1998-01-01,7.84595178761953,3.2,,,
China,1997-01-01,9.23677989162672,3.2,,,
China,1996-01-01,9.92255675231162,3.1,,,
China,1995-01-01,10.9539543428699,3.0,,,
China,1994-01-01,13.0368066319673,2.9,,,
China,1993-01-01,13.8837293021031,2.7,,,
China,1992-01-01,14.2245295931824,2.4,,,
China,1991-01-01,9.26278608406234,2.4,,,
China,1990-01-01,3.92025136776569,,,,
China,1989-01-01,4.20633435547815,,,,
China,1988-01-01,11.222594982521,,,,
China,1987-01-01,11.6574277931357,,,,
China,1986-01-01,8.94996176438008,,,,
China,1985-01-01,13.4306775204064,,,,
China,1984-01-01,15.1915400236134,,,,
China,1983-01-01,10.7702025065715,,,,
China,1982-01-01,9.01711391382203,,,,
China,1981-01-01,5.11276109058912,,,,
China,1980-01-01,7.83414501593799,,,,
China,1979-01-01,7.5913246800003,,,,
China,1978-01-01,11.3259779901995,,,,
China,1977-01-01,7.56999999917166,,,,
China,1976-01-01,-1.57000000275067,,,,
China,1975-01-01,8.72000000047512,,,,
China,1974-01-01,2.31000000049113,,,,
China,1973-01-01,7.7600000016445,,,,
China,1972-01-01,3.80999999825444,,,,
China,1971-01-01,7.06000000335179,,,,
China,1970-01-01,19.299999996256,,,,
China,1969-01-01,16.9399999961093,,,,
China,1968-01-01,-4.09999999214142,,,,
China,1967-01-01,-5.77000000422508,,,,
China,1966-01-01,10.6500000041736,,,,
China,1965-01-01,16.950000002496,,,,
China,1964-01-01,18.179999994202,,,,
China,1963-01-01,10.2999999952758,,,,
China,1962-01-01,-5.579999990136,,,,
China,1961-01-01,-27.2700000039461,,,,
China,1960-01-01,,,,,
Germany,2020-01-01,-4.56961671737398,4.31,,,
Germany,2019-01-01,1.05550824713283,3.14,1.8400000333786,1.77999997138977,1.80999994277954
Germany,2018-01-01,1.08602451412267,3.38,1.92999994754791,1.83000004291534,1.87000000476837
Germany,2017-01-01,2.68023111405891,3.75,1.98000001907349,1.97000002861023,1.98000001907349
Germany,2016-01-01,2.22999986782015,4.12,2.25999999046326,2.13000011444092,2.19000005722046
Germany,2015-01-01,1.49193152760772,4.62,2.53999996185303,2.17000007629395,2.3199999332428
Germany,2014-01-01,2.20954343134872,4.98,2.75,2.26999998092651,2.47000002861023
Germany,2013-01-01,0.437591303144671,5.23,2.58999991416931,2.16000008583069,2.34999990463257
Germany,2012-01-01,0.418497594217598,5.38,2.59999990463257,2.08999991416931,2.30999994277954
Germany,2011-01-01,3.92519270463411,5.82,2.66000008583069,2.16000008583069,2.36999988555908
Germany,2010-01-01,4.17988249873657,6.97,3.24000000953674,2.85999989509583,3.01999998092651
Germany,2009-01-01,-5.69383633640285,7.74,3.72000002861023,3.16000008583069,3.39000010490417
Germany,2008-01-01,0.95987913356484,7.53,3.94000005722046,2.88000011444092,3.30999994277954
Germany,2007-01-01,2.97645513131597,8.66,4.46999979019165,3.38000011444092,3.8199999332428
Germany,2006-01-01,3.816441912988,10.25,5.28999996185303,4.46999979019165,4.78999996185303
Germany,2005-01-01,0.731707163554191,11.17,6.01999998092651,5.19000005722046,5.51000022888184
Germany,2004-01-01,1.17508813160987,10.73,5.86999988555908,5.09000015258789,5.40000009536743
Germany,2003-01-01,-0.700116686114356,9.78,5.71000003814697,4.51999998092651,4.96999979019165
Germany,2002-01-01,-0.197973834771361,8.48,4.78999996185303,3.94000005722046,4.26000022888184
Germany,2001-01-01,1.68146848097079,7.77,4.86999988555908,3.71000003814697,4.13000011444092
Germany,2000-01-01,2.91250296366708,7.92,5.19999980926514,3.72000002861023,4.26000022888184
Germany,1999-01-01,1.88726115399444,8.86,5.75,4.63000011444092,5.03000020980835
Germany,1998-01-01,2.01393278519326,9.79,6.6399998664856,4.88000011444092,5.5
Germany,1997-01-01,1.79216082094591,9.86,,,
Germany,1996-01-01,0.80582289149001,8.83,,,
Germany,1995-01-01,1.54414649556445,8.16,,,
Germany,1994-01-01,2.39189207051331,8.73,,,
Germany,1993-01-01,-0.976849818160517,7.68,,,
Germany,1992-01-01,1.923076559054,6.32,,,
Germany,1991-01-01,5.10826152190214,5.32,,,
Germany,1990-01-01,5.25500608278011,,,,
Germany,1989-01-01,3.89655169214447,,,,
Germany,1988-01-01,3.70723565949591,,,,
Germany,1987-01-01,1.40215162742055,,,,
Germany,1986-01-01,2.28733922127036,,,,
Germany,1985-01-01,2.32793526226367,,,,
Germany,1984-01-01,2.82294780997955,,,,
Germany,1983-01-01,1.57241016952116,,,,
Germany,1982-01-01,-0.394840774795966,,,,
Germany,1981-01-01,0.529240556536067,,,,
Germany,1980-01-01,1.40882863572145,,,,
Germany,1979-01-01,4.15036334066737,,,,
Germany,1978-01-01,3.00849285673846,,,,
Germany,1977-01-01,3.34721812001672,,,,
Germany,1976-01-01,4.94925837665457,,,,
Germany,1975-01-01,-0.866738894227723,,,,
Germany,1974-01-01,0.890068740587211,,,,
Germany,1973-01-01,4.77748689217385,,,,
Germany,1972-01-01,4.30034133420232,,,,
Germany,1971-01-01,3.13269973811248,,,,
Germany,1970-01-01,,,,,
Germany,1969-01-01,,,,,
